Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US30067,CVZG082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.133.118,Microsoft Windows 7 Professional x64,CPL,,2018-12-21 23:59:59,Active,,,,,,
US08117,DCDPG42,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.133.146,Microsoft Windows 7 Professional x64,CPL,,2018-09-02 23:59:59,Active,,,,,,
US08116,JCYVG42,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.133.150,Microsoft Windows 7 Professional x64,CPL,,2018-09-02 23:59:59,Active,,,,,,
US08222,8SM3C62,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.133.222,Microsoft Windows 7 Professional x64,CPL,,2018-11-18 23:59:59,Active,,,,,,
US14742,10XSCH2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.133.43,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US31184,810H582,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.133.81,Microsoft Windows 7 Professional x64,CPL,,2019-02-04 23:59:59,Active,,,,,,
US08330,JDDRB42,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.133.82,Microsoft Windows 7 Professional x64,CPL,,2018-11-13 23:59:59,Active,,,,,,
US30436,B7CH082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.133.83,Microsoft Windows 7 Professional x64,CPL,,2018-12-28 23:59:59,Active,,,,,,
US08225,1TV1Z72,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.134.13,Microsoft Windows 7 Professional x64,CPL,,2018-11-12 23:59:59,Active,,,,,,
US08226,1V6ZY72,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.134.14,Microsoft Windows 7 Professional x64,CPL,,2018-11-12 23:59:59,Active,,,,,,
US30283,B6KF082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.134.140,Microsoft Windows 7 Professional x64,CPL,,2018-12-29 23:59:59,Active,,,,,,
US14718,7J5DCH2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.134.141,Microsoft Windows 7 Professional x64,CPL,,2020-02-10 23:59:59,Active,,,,,,
US01820,73GPR12,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.134.142,Microsoft Windows 7 Professional x64,CPL,,2017-10-25 23:59:59,Expired,,,,,,
US30119,B57L082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.134.144,Microsoft Windows 7 Professional x64,CPL,,2018-12-30 23:59:59,Active,,,,,,
US20208,68XPRD2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.134.145,Microsoft Windows 7 Professional x64,CPL,,2019-09-23 23:59:59,Active,,,,,,
US31165,H7GTN52,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.134.146,Microsoft Windows 7 Professional x64,CPL,,2019-01-14 23:59:59,Active,,,,,,
US20228,DKN9SD2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.134.147,Microsoft Windows 7 Professional x64,CPL,,2019-10-11 23:59:59,Active,,,,,,
OAK-18923,CTF2CZ1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.134.148,Microsoft Windows 7 Professional x64,CPL,,2017-01-20 23:59:59,Expired,,,,,,
OAK-18924,CSZ3CZ1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.134.150,Microsoft Windows 7 Professional x64,CPL,,2017-01-20 23:59:59,Expired,,,,,,
US14717,8FLWCH2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.134.151,Microsoft Windows 7 Professional x64,CPL,,2020-01-27 23:59:59,Active,,,,,,
OAK-18925,CRB4CZ1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.134.152,Microsoft Windows 7 Professional x64,CPL,,2017-01-20 23:59:59,Expired,,,,,,
US14716,FKY2CH2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.134.154,Microsoft Windows 7 Professional x64,CPL,,2020-01-28 23:59:59,Active,,,,,,
US01863,4CGMCZ1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.134.156,Microsoft Windows 7 Professional x64,CPL,,2016-12-30 23:59:59,Expired,,,,,,
