Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US30290,B65F082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.67,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
ETX21858,99LGCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.68,Microsoft Windows 7 Professional x64,AEL,,2017-01-14 23:59:59,Expired,,,,,,
US07570,JLH1B42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.69,Microsoft Windows 7 Professional x64,AEL,,2018-03-31 23:59:59,Active,,,,,,
ETX21864,CSC3CZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.70,Microsoft Windows 7 Professional x64,AEL,,2017-01-19 23:59:59,Expired,,,,,,
ETX21842,23PDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.71,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
US01644,B9KKK32,Dell Inc.,Latitude E7440,Unassigned,laptop,10.3.7.74,Microsoft Windows 7 Professional x64,AEL,,2018-01-07 23:59:59,Active,,,,,,
US30721,2FLG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.75,Microsoft Windows 7 Professional x64,AEL,,2018-12-28 23:59:59,Active,,,,,,
US07583,JMPMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.76,Microsoft Windows 7 Professional x64,AEL,,2018-07-14 23:59:59,Active,,,,,,
US06012,1WSKBB2,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.77,Microsoft Windows 7 Professional x64,AEL,,2019-03-25 23:59:59,Active,,,,,,
US30129,B50H082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.79,Microsoft Windows 7 Professional x64,AEL,,2018-12-30 23:59:59,Active,,,,,,
US30286,2FNK082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.80,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US30293,2FJG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.81,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US30730,B8KG082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.82,Microsoft Windows 7 Professional x64,AEL,,2018-12-28 23:59:59,Active,,,,,,
US06008,6BYRP52,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.84,Microsoft Windows 7 Professional x64,AEL,,2018-09-28 23:59:59,Active,,,,,,
US06011,22RGCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.85,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
US06003,GLPMV42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.86,Microsoft Windows 7 Professional x64,AEL,,2018-07-14 23:59:59,Active,,,,,,
US30289,B68F082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.87,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
ETX21856,22BDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.88,Microsoft Windows 7 Professional x64,AEL,,2017-02-26 23:59:59,Expired,,,,,,
