NAME,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTRALIAN,OURS
Acer Veriton 5100,ACER,VERITON,5100,,,,,,,,,,,,,,,,,,,,,,,SFF,"small form factor,small form,sff"
Apple eMac,EMAC,,,,,,,,,,,,,,,,,,,,,,,,,micro,micro
Apple iMac 20in 2.0Ghz 1GB/250GB/SD,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,usff,"ultra small,usff"
Apple iMac 21 2.9GHz 8GB/1TB/ATA,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mff,"medium form factor,medium form,mff"
Apple iMac 21.5in 2.8GHz QC/8GB/1TB,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Comdek/EDSys/Apple Generic,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mini tower,"mini,mini tower"
Cybernet iOne GX31,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Dell Dimension Series,DIMENSION,,,,,,,,,,,,,,,,,,,,,,,,,btx,"btx,balanced tech,balanced technology extended"
HP EliteDesk 8000 SFF,ELITEDESK,8000,SSF,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 8000 USDT,ELITEDESK,8000,USDT,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 8200 CMT,ELITEDESK,8200,CMT,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 8200 SFF,ELITEDESK,8200,SFF,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 8300 AIO,ELITEDESK,8300,AIO,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 8300 SFF,ELITEDESK,8300,SFF,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteOne 800 AIO,ELITEONE,800,AIO,,,,,,,,,,,,,,,,,,,,,,,,
HP T5540 Thin Client,T5540,THIN CLIENT,,,,,,,,,,,,,,,,,,,,,,,,,
HP XW4300 Tower,XW4300,,,,,,,,,,,,,,,,,,,,,,,,,,
HP XW4400 Tower,XW4400,,,,,,,,,,,,,,,,,,,,,,,,,,
HP xw4600 Tower,xw4600,,,,,,,,,,,,,,,,,,,,,,,,,,
HP XW6200 Tower,XW6200,,,,,,,,,,,,,,,,,,,,,,,,,,
HP XW6400 Tower,XW6400,,,,,,,,,,,,,,,,,,,,,,,,,,
HP XW6600 Tower,XW6600,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Z420 Tower,Z420,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Z440 Tower,Z440,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Z600 Tower,Z600,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Z620 Tower,Z620,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM IntelliStation M Pro,INTELLISTATION M,PRO,,,,,,,,,,,,,,,,,,,,,,,,,
IBM NetVista,NETVISTA,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM NetVista 6826-22M,NETVISTA,6826-22M,,,,,,,,,,,,,,,,,,,,,,,,,
IBM NetVista 8319-41M,NETVISTA,8319-41M,,,,,,,,,,,,,,,,,,,,,,,,,
IBM ThinkCentre,THINKCENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM ThinkCentre A50,THINKCENTRE,A50,,,,,,,,,,,,,,,,,,,,,,,,,
IBM ThinkCentre A52,THINKCENTRE,A52,,,,,,,,,,,,,,,,,,,,,,,,,
IBM ThinkCentre A61,THINKCENTRE,A61,,,,,,,,,,,,,,,,,,,,,,,,,
IBM ThinkCentre M52,THINKCENTRE,M52,,,,,,,,,,,,,,,,,,,,,,,,,
IBM ThinkCentre M55,THINKCENTRE,M55,,,,,,,,,,,,,,,,,,,,,,,,,
IBM ThinkCentre S50,THINKCENTRE,S50,,,,,,,,,,,,,,,,,,,,,,,,,
IBM ThinkCentre S51,THINKCENTRE,S51,,,,,,,,,,,,,,,,,,,,,,,,,
IBM Wyse 3150 SE Thin Client,WYSE,3150,SE,THIN CLIENT,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M57,THINKCENTRE,M57,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M58,THINKCENTRE,M58,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M600 Tiny,THINKCENTRE,M600,TINY,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M700 SFF,THINKCENTRE,M700,SFF,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M700 Tiny,THINKCENTRE,M700,TINY,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M710q Tiny,THINKCENTRE,M710Q,TINY,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M710s SFF,THINKCENTRE,M710S,SFF,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M73,THINKCENTRE,M73,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M73 Tiny,THINKCENTRE,M73,TINY,,,,,,,,,,,,,,,,,,,,,,,,
Micro-Star International MS7360,"MICRO-STAR,MICROSTAR,MICRO STAR",MS7360,,,,,,,,,,,,,,,,,,,,,,,,,
Apple iMac 21.5 2.5GHz/2x2GB/500GB/6750M,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple iMac 21.5 2.7GHz i5/8GB/1TB,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Air 11in,MACBOOK,AIR,11,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Air 13.3in,MACBOOK,AIR,13.3,,,,,,,,,,,,,,,,,,,,,,,,
Apple Macbook Pro 13,MACBOOK,PRO,13,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Pro 13 with Touch Bar,MACBOOK,PRO,13,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Pro 15 with Touch Bar,MACBOOK,PRO,15,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Pro 15in,MACBOOK,PRO,15,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Pro 15in Retina,MACBOOK,PRO,15,RETINA,,,,,,,,,,,,,,,,,,,,,,,
